
Overlap Results

Collection(s):	C2, H
# overlaps shown:	10
# genesets in collections:	7720
# genes in comparison (n):	114
# genes in universe (N):	43722

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	792	Cytokine Signaling in Immune system	26	0.0328	2.59E-21	2E-17
WP_PLEURAL_MESOTHELIOMA	439	Pleural mesothelioma	20	0.0456	2.85E-19	1.1E-15
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	920	Cellular responses to stimuli	25	0.0272	1.47E-18	3.77E-15
WP_CANCER_PATHWAYS	507	Cancer pathways	20	0.0394	4.68E-18	9.04E-15
REACTOME_SIGNALING_BY_INTERLEUKINS	461	Signaling by Interleukins	19	0.0412	1.53E-17	2.36E-14
WINTER_HYPOXIA_METAGENE	243	Genes regulated by hypoxia, based on literature searches.	15	0.0617	1.23E-16	1.59E-13
HALLMARK_HYPOXIA	200	Genes up-regulated in response to low oxygen levels (hypoxia).	14	0.0700	2.32E-16	2.56E-13
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	532	Signaling by Receptor Tyrosine Kinases	18	0.0338	3.51E-15	3.38E-12
WP_INSULIN_SIGNALING	160	Insulin signaling	11	0.0688	5.18E-13	4.17E-10
WP_GASTRIN_SIGNALING	115	Gastrin signaling	10	0.0870	5.75E-13	4.17E-10


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	WP_PLEURAL_MESOTHELIOMA	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	WP_CANCER_PATHWAYS	REACTOME_SIGNALING_BY_INTERLEUKINS	WINTER_HYPOXIA_METAGENE	HALLMARK_HYPOXIA	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	WP_INSULIN_SIGNALING	WP_GASTRIN_SIGNALING
7422	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	WP_PLEURAL_MESOTHELIOMA	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	WP_CANCER_PATHWAYS	REACTOME_SIGNALING_BY_INTERLEUKINS	WINTER_HYPOXIA_METAGENE	HALLMARK_HYPOXIA	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		WP_GASTRIN_SIGNALING
3725	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	WP_PLEURAL_MESOTHELIOMA	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	WP_CANCER_PATHWAYS	REACTOME_SIGNALING_BY_INTERLEUKINS	WINTER_HYPOXIA_METAGENE	HALLMARK_HYPOXIA		WP_INSULIN_SIGNALING	WP_GASTRIN_SIGNALING
596	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	WP_PLEURAL_MESOTHELIOMA	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	WP_CANCER_PATHWAYS	REACTOME_SIGNALING_BY_INTERLEUKINS		HALLMARK_HYPOXIA			
4609	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	WP_PLEURAL_MESOTHELIOMA	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	WP_CANCER_PATHWAYS	REACTOME_SIGNALING_BY_INTERLEUKINS			REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		WP_GASTRIN_SIGNALING
5601	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	WP_PLEURAL_MESOTHELIOMA	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	WP_CANCER_PATHWAYS	REACTOME_SIGNALING_BY_INTERLEUKINS				WP_INSULIN_SIGNALING	WP_GASTRIN_SIGNALING
6464	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	WP_PLEURAL_MESOTHELIOMA	REACTOME_CELLULAR_RESPONSES_TO_STIMULI		REACTOME_SIGNALING_BY_INTERLEUKINS			REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	WP_INSULIN_SIGNALING	WP_GASTRIN_SIGNALING
5598	MAPK7	mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	WP_PLEURAL_MESOTHELIOMA	REACTOME_CELLULAR_RESPONSES_TO_STIMULI		REACTOME_SIGNALING_BY_INTERLEUKINS			REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	WP_INSULIN_SIGNALING	
4170	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	WP_PLEURAL_MESOTHELIOMA			REACTOME_SIGNALING_BY_INTERLEUKINS					
960	CD44	CD44 molecule (IN blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	WP_PLEURAL_MESOTHELIOMA								WP_GASTRIN_SIGNALING
