Entrez_ID	hgnc_symbol	logFC	P.Value	adj.P.Val
1958	EGR1	-6.128147200807983	1.6933414669624888e-11	8.30023862749808e-8
8302	KLRC4	-5.295225040113023	2.087950408402507e-11	8.30023862749808e-8
343472	BARHL2	4.96433337214377	2.280375534593011e-11	8.30023862749808e-8
10890	RAB10	7.42034029761997	2.4962143851682145e-11	8.30023862749808e-8
10558	SPTLC1	-5.725654884266222	3.173598607145385e-11	8.30023862749808e-8
53831	GPR84	-4.914013816654971	3.534721377155597e-11	8.30023862749808e-8
84901	NFATC2IP	4.620927101301111	3.8052105358924654e-11	8.30023862749808e-8
259285	TAS2R39	-4.46018408058546	4.1097919799458216e-11	8.30023862749808e-8
51257	MARCHF2	-4.125002032184701	7.514443989485043e-11	1.2595214946555834e-7
9332	CD163	-3.6000456747258434	7.795515842393906e-11	1.2595214946555834e-7
7267	TTC3	-2.824856291386506	9.916570387011263e-11	1.2959846509096436e-7
51098	IFT52	5.549922333822034	1.1155663722498832e-10	1.2959846509096436e-7
51390	AIG1	-3.418929284671603	1.122673610119815e-10	1.2959846509096436e-7
1385	CREB1	-2.844204716674122	1.188089712372547e-10	1.2959846509096436e-7
50861	STMN3	-4.935397726414596	1.2749365125372515e-10	1.2959846509096436e-7
1525	CXADR	-5.3860909141387685	1.283391373061478e-10	1.2959846509096436e-7
79709	COLGALT1	-5.180809906872812	1.5395496204839126e-10	1.4632060716563868e-7
54947	LPCAT2	-4.288067765992288	1.6652051106793353e-10	1.4701518103167688e-7
89845	ABCC10	-4.41286007695009	1.728841022220623e-10	1.4701518103167688e-7
5196	PF4	-2.6985171430811143	1.8448300346167096e-10	1.4903459434651088e-7
81870	KRTAP9-9	-2.5372653877938722	2.176930092667313e-10	1.6748885479631322e-7
23302	WSCD1	-4.233645346296344	2.34676450412748e-10	1.723485186053986e-7
23225	NUP210	5.0275756774076035	2.808653174185963e-10	1.9730177971879393e-7
57147	SCYL3	3.4099556991159288	2.9834066569759133e-10	2.0084542231983264e-7
590	BCHE	-3.816457280094094	3.146450104321032e-10	2.0334877734205966e-7
64400	AKTIP	-5.831412351914725	3.322480730207699e-10	2.053705058003146e-7
2687	GGT5	-3.2138625546922315	3.4319512636061735e-10	2.053705058003146e-7
57205	ATP10D	-3.333900793792289	4.1204308362877685e-10	2.3434169057745776e-7
1836	SLC26A2	-2.407189179778468	4.3308791063883386e-10	2.3434169057745776e-7
84959	UBASH3B	-3.086150050679311	4.609295519510188e-10	2.3434169057745776e-7
2668	GDNF	4.2251676802999985	4.661446517761826e-10	2.3434169057745776e-7
84641	MFSD14B	2.9440358059788054	4.76618796378493e-10	2.3434169057745776e-7
5537	PPP6C	-4.663640054189876	4.869293884792561e-10	2.3434169057745776e-7
10369	CACNG2	-2.899181648627793	4.945389330882364e-10	2.3434169057745776e-7
100132341	NA	-2.4202431057200267	5.076412186798924e-10	2.3434169057745776e-7
10787	NCKAP1	-3.664665556353553	5.522112642225268e-10	2.478354832234268e-7
3712	IVD	2.931079196986734	5.873351163078262e-10	2.5449022039227213e-7
51091	SEPSECS	-2.5290997242362607	5.985410889958743e-10	2.5449022039227213e-7
8034	SLC25A16	-3.211843748686436	6.175636194658262e-10	2.558455230694706e-7
25824	PRDX5	3.556934563040632	6.452367526480594e-10	2.5814907209725213e-7
29071	C1GALT1C1	4.990565602110434	6.742093902653934e-10	2.5814907209725213e-7
54842	MFSD6	3.4475169075557943	6.768990384503003e-10	2.5814907209725213e-7
5697	PYY	4.933026728793434	6.870341090661535e-10	2.5814907209725213e-7
140710	MTCL2	-2.4536940767241417	7.154847027785061e-10	2.587756812120703e-7
871	SERPINH1	4.900914984271597	7.207343971370406e-10	2.587756812120703e-7
11085	ADAM30	-2.8206530023525924	7.504811887157187e-10	2.63598360132171e-7
4318	MMP9	-4.532890551200033	7.669576318658527e-10	2.636539246395017e-7
51647	CIAO2B	3.505706981527204	7.873105469689937e-10	2.650120105703757e-7
10371	SEMA3A	3.6353962067471546	8.279580909649259e-10	2.730065076677614e-7
10913	EDAR	-3.8407764436369853	8.976605311638214e-10	2.8520326403505427e-7
252884	ZNF396	3.1042635076694545	9.059912461718959e-10	2.8520326403505427e-7
7074	TIAM1	-3.1772006094051446	9.179036782708932e-10	2.8520326403505427e-7
10078	TSSC4	3.5003876277604222	9.579609360351605e-10	2.8562609497876877e-7
56956	LHX9	-2.316911707402771	9.6254698050616e-10	2.8562609497876877e-7
139599	MAGEE2	-2.6719532216635535	1.0031754649957814e-9	2.8562609497876877e-7
5141	PDE4A	-3.519959081364941	1.0137827539503274e-9	2.8562609497876877e-7
80331	DNAJC5	2.430355755451226	1.022323030662764e-9	2.8562609497876877e-7
729515	TMEM242	-3.4489723089868485	1.0253335092386327e-9	2.8562609497876877e-7
7976	FZD3	2.7217168127112257	1.0473669802188582e-9	2.86818784735527e-7
11334	TUSC2	3.768529854408682	1.0823363320989433e-9	2.903961446729472e-7
57695	USP37	2.4386420821545385	1.0963771012595022e-9	2.903961446729472e-7
84313	VPS25	-4.202606096873473	1.1516049621663414e-9	3.0010453828583195e-7
27072	VPS41	-2.4251283141066167	1.2271662966042557e-9	3.1471945800372953e-7
613	BCR	2.397987526122451	1.332909725301429e-9	3.2507096832049016e-7
162427	RETREG3	-2.3222050044965536	1.3345468597616404e-9	3.2507096832049016e-7
3626	INHBC	-2.4333178127066377	1.343402353807837e-9	3.2507096832049016e-7
3552	IL1A	4.3192011361505305	1.3480073576451595e-9	3.2507096832049016e-7
347273	CAVIN4	4.808199521573967	1.4416462401786188e-9	3.3724489661849863e-7
6591	SNAI2	3.106762055162216	1.45490000166541e-9	3.3724489661849863e-7
