Entrez_ID	hgnc_symbol	logFC	P.Value	adj.P.Val
27121	DKK4	9.629624543897272	1.010832054224522e-24	1.5567824467111862e-20
51176	LEF1	8.65236792294344	2.9496659200833985e-22	2.271390241760221e-18
2913	GRM3	6.562922694565795	9.488915138019441e-22	4.871292734687914e-18
51151	SLC45A2	7.361619875054596	1.6394434973943957e-20	6.312267325842773e-17
9627	SNCAIP	6.569703364521908	2.562821321630648e-20	7.894002234886722e-17
389058	SP5	7.067218610798357	3.1190249919697304e-20	8.006017316887636e-17
56259	CTNNBL1	5.2268691918937975	1.2294303348806868e-19	2.7049223696424943e-16
79899	PRR5L	6.347569565800774	1.463183336225358e-19	2.816810820150842e-16
9783	RIMS3	6.978842508209551	3.1445620426916043e-19	5.381044446610377e-16
85407	NKD1	7.509549623704025	5.866227889948856e-19	9.034577573310233e-16
221662	RBM24	6.146237395825749	6.673192876919705e-19	9.305016659434438e-16
3221	HOXC4	4.2501622011725235	7.250191540368369e-19	9.305016659434438e-16
126129	CPT1C	6.379845252663878	1.0001079708637567e-18	1.1848202199440551e-15
744	MPPED2	6.340983222144958	1.2610520192238692e-18	1.3179938523321951e-15
9900	SV2A	5.4091742146253905	1.2914562513613575e-18	1.3179938523321951e-15
259217	HSPA12A	5.399760067522992	1.3692553494782885e-18	1.3179938523321951e-15
147495	APCDD1	5.73743092110243	1.9373043388193773e-18	1.7550837718916019e-15
79148	MMP28	5.781398387865034	7.526460041175942e-18	6.439722838563927e-15
23671	TMEFF2	8.186190688326633	8.069547760007524e-18	6.541005529046099e-15
6695	SPOCK1	5.836687351526832	1.9630366021113937e-17	1.5116363354558786e-14
9122	SLC16A4	5.279122814311305	2.7089270811859885e-17	1.9866755227307337e-14
1908	EDN3	6.784408957487388	4.806953014509121e-17	3.36508560802068e-14
1945	EFNA4	3.705868237774724	5.740391202219564e-17	3.843815865451457e-14
51171	HSD17B14	5.268052837330819	6.745583501828098e-17	4.3095550705903277e-14
23676	SMPX	7.435505844149522	7.184200447858801e-17	4.3095550705903277e-14
85315	PAQR8	4.747616783575496	7.275399768544155e-17	4.3095550705903277e-14
3702	ITK	6.541913916536069	9.985667905704944e-17	5.695898941324513e-14
9751	SNPH	3.575899279973293	1.0381960943696406e-16	5.710449303352441e-14
92691	TMEM169	3.976998874980569	1.137418098594124e-16	6.040474529809691e-14
10962	MLLT11	4.246098949857236	1.3379285834606656e-16	6.86847937129257e-14
8557	TCAP	6.110996750940791	1.4042446858646448e-16	6.976378195806901e-14
8501	SLC43A1	-4.645001211552769	1.4892451284273819e-16	7.167457569659408e-14
321	APBA2	5.039830177653811	1.7972141471720654e-16	8.225766004833264e-14
24141	LAMP5	8.472341383028144	1.8159602893599827e-16	8.225766004833264e-14
148523	CIART	4.569576332670094	1.9251645810690966e-16	8.471274203727187e-14
10948	STARD3	6.078690907174425	2.0573113643684975e-16	8.801292311844231e-14
23462	HEY1	4.949600092714003	2.243006026174689e-16	9.336361029490914e-14
10930	APOBEC2	-4.321695538149763	2.6747535928792076e-16	1.0840494758929651e-13
4982	TNFRSF11B	7.119406262483362	5.425011728101056e-16	2.1423232211406248e-13
201191	SAMD14	4.153855186790655	6.931070297039944e-16	2.668635341117804e-13
8566	PDXK	3.6443012788799862	7.542513332606569e-16	2.8332255569627746e-13
7133	TNFRSF1B	6.695158840143993	8.224968755461455e-16	3.0160177095919495e-13
27345	KCNMB4	6.162882429966938	9.342971999171313e-16	3.3463049246334276e-13
114801	TMEM200A	4.664173810541462	9.767401602186103e-16	3.4188125471651854e-13
55753	OGDHL	5.425787258579338	1.0450131376198783e-15	3.57649940721861e-13
23508	TTC9	3.9555693610785294	1.0972032530904712e-15	3.6734841958361624e-13
23284	ADGRL3	4.603981362989341	1.1595028554274603e-15	3.7677127342062357e-13
23194	FBXL7	4.083185787444895	1.174275769377958e-15	3.7677127342062357e-13
50649	ARHGEF4	-3.0656624999370337	1.249643635134961e-15	3.8943571417560337e-13
11197	WIF1	7.375745172213762	1.2643195707278858e-15	3.8943571417560337e-13
403	ARL3	4.149691371159999	1.3797974589580446e-15	4.1380257423043823e-13
29887	SNX10	3.9162016586511896	1.3989864733657665e-15	4.1380257423043823e-13
860	RUNX2	4.622434486608388	1.4351889822913525e-15	4.1380257423043823e-13
57631	LRCH2	5.444431506898426	1.4509018251051014e-15	4.1380257423043823e-13
25859	PART1	3.4588943753504706	1.568105700143965e-15	4.390981070530401e-13
64799	IQCH	4.934406833582004	2.036907582552048e-15	5.601859585515017e-13
1482	NKX2-5	-4.495643934315027	2.3867955789437425e-15	6.448954159879399e-13
4868	NPHS1	-4.110059573603096	2.5476248019288108e-15	6.740758906657872e-13
84883	AIFM2	3.6390296013418473	2.5823308583391628e-15	6.740758906657872e-13
9240	PNMA1	4.6598453368670025	2.7230593871262253e-15	6.847056570086923e-13
256435	ST6GALNAC3	5.050778929383356	2.749691266152132e-15	6.847056570086923e-13
2774	GNAL	4.291995846226018	2.7564282017102083e-15	6.847056570086923e-13
10382	TUBB4A	-2.577598598179919	2.8098222536635643e-15	6.868900401376596e-13
432	ASGR1	5.341949547831347	3.0830942319975877e-15	7.419177229217945e-13
84034	EMILIN2	5.27123011448125	3.2105906799992725e-15	7.514967109200199e-13
286128	ZFP41	-4.48438492124839	3.220491066860679e-15	7.514967109200199e-13
26035	GLCE	3.634374983097457	3.427463665101296e-15	7.878562374063442e-13
55966	AJAP1	4.587910527436271	3.603418635142067e-15	8.161213294091614e-13
10991	SLC38A3	-3.2080142054551777	3.704669712789e-15	8.268930180675853e-13
135892	TRIM50	-4.660787264164407	3.864973505408179e-15	8.503493850970195e-13
147111	NOTUM	6.353479718984552	4.01026611788755e-15	8.698888518533261e-13
2861	GPR37	6.696085253169126	4.186701505095656e-15	8.955470816663639e-13
154091	SLC2A12	5.422451802478458	4.444324741192542e-15	9.376307580699498e-13
9744	ACAP1	5.322132959289674	5.139644118373628e-15	1.0696710684739491e-12
7429	VIL1	-2.597897355379433	5.593056057552733e-15	1.1485154178982619e-12
154214	RNF217	3.259443706992869	5.751029850722841e-15	1.165415930670822e-12
1674	DES	-3.367996268250888	6.129331979477662e-15	1.2259459976095518e-12
91703	ACY3	-4.1761997296201265	6.324310581805074e-15	1.2487270162869225e-12
1123	CHN1	5.680950729504729	6.8570899030804075e-15	1.3367853366752072e-12
23670	CEMIP2	3.341921853441036	7.283352559369901e-15	1.402136409585698e-12
10411	RAPGEF3	4.578137675748387	7.4647750149372e-15	1.4193209877166398e-12
7738	ZNF184	4.903926164555466	8.67740755743489e-15	1.629765290147009e-12
