MIMAT_ID	logFC	P.Value	adj.P.Val
MIMAT0000428	6.397978659210839	8.282016903892131e-14	6.447314236646609e-11
MIMAT0000687	-1.2489766824790516	9.572849646097414e-14	6.447314236646609e-11
MIMAT0003329	-1.4515111634884783	1.1830358071256003e-12	5.311830773993946e-10
MIMAT0000758	5.557288552851887	1.6566500672468049e-12	5.578769101453615e-10
MIMAT0000272	-4.005472483455108	2.320092253295785e-12	6.250328530378844e-10
MIMAT0000733	-1.6895108483570245	2.389643160718305e-11	5.364748895812595e-9
MIMAT0000453	-1.5664243508756028	4.1241225249645203e-11	7.080214427335513e-9
MIMAT0000452	-2.242887283086243	4.3248084714690426e-11	7.080214427335513e-9
MIMAT0000737	-1.428501827081787	4.7766201275276995e-11	7.080214427335513e-9
MIMAT0000250	4.103026394663466	5.2562839104198315e-11	7.080214427335513e-9
MIMAT0000222	-4.557278771126527	1.2352558216384177e-10	1.512626901588135e-8
MIMAT0000460	-3.382805687910003	1.556491915814736e-10	1.747162175502041e-8
MIMAT0000736	-3.0576917648829762	2.0144313724130539e-10	2.0872608143387566e-8
MIMAT0002890	-1.598527655549968	3.8391886326640807e-10	3.4500866637337457e-08
MIMAT0004814	-2.064198221009068	4.044409356717777e-10	3.4500866637337457e-08
MIMAT0000318	-5.3063860945159425	4.098098486988859e-10	3.4500866637337457e-08
MIMAT0004606	-2.3628642281989864	9.288260908561939e-10	7.359580849313489e-8
MIMAT0000617	-5.507751941865691	1.1340930272568075e-9	8.298903583296889e-8
MIMAT0001536	-4.046158181656264	1.170595160227475e-9	8.298903583296889e-8
MIMAT0000682	-4.880562484013987	1.2727154143841689e-9	8.571738315877377e-8
MIMAT0000418	1.7240800441643045	2.501350977385013e-9	1.6044379840655296e-7
MIMAT0000432	-6.615239070590368	4.232137365388161e-9	2.530106057969757e-7
MIMAT0004560	1.6724746372936408	4.320151398166623e-9	2.530106057969757e-7
MIMAT0000086	0.9961745181582137	7.366956702305498e-9	4.134704449168961e-7
MIMAT0000446	-2.96186205837751	9.211545635562957e-9	4.963180788441321e-7
MIMAT0003247	2.761087252610548	1.1390853263202257e-8	5.901338209820553e-7
MIMAT0000730	-2.995375787601256	1.673592066800039e-8	8.349364866591305e-7
MIMAT0002174	2.022476429993279	2.07913460360544e-8	1.0002122539487598e-6
MIMAT0003150	-1.63284139242242	2.2441815016981344e-8	1.0423836147542714e-6
MIMAT0001621	-0.8416769859855433	2.7503834333564853e-8	1.2349221615770618e-6
MIMAT0000423	2.395414316694647	2.8684509900039737e-8	1.246388220495275e-6
MIMAT0000720	-3.618941622646053	3.19919127236264e-8	1.3466595762101487e-6
MIMAT0000259	3.057873060185999	3.3015893167117435e-8	1.3476487301850663e-6
MIMAT0000448	-2.8044537425595566	3.436915496273904e-8	1.3616250510238086e-6
MIMAT0002870	3.8867653997967344	7.086161816340317e-8	2.7271599904601166e-6
MIMAT0003294	-1.1574380850741823	1.3883233287118521e-7	5.194643121596847e-6
MIMAT0001639	-1.6977368050726251	1.6035909590283806e-7	5.837937896787104e-6
MIMAT0004689	-0.29928446409623477	1.849357687213278e-7	6.555486328095487e-6
MIMAT0002171	-1.2463634632385459	2.285094099106005e-7	7.892363465373818e-6
MIMAT0004503	0.5846702530628681	2.918093433600885e-7	9.82667963765098e-6
MIMAT0000080	1.11617749858251	3.4298703148953444e-7	1.1268378815034216e-5
MIMAT0000267	2.556083278228136	3.81547435540467e-7	1.2236771325547833e-5
MIMAT0000265	2.978168833635954	4.397130440968475e-7	1.377426675345241e-5
