
Overlap Results

Collection(s):	C2, H
# overlaps shown:	10
# genesets in collections:	7720
# genes in comparison (n):	10
# genes in universe (N):	43722

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_ESR_MEDIATED_SIGNALING	220	ESR-mediated signaling	4	0.0182	1.28E-7	9.88E-4
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	294	Signaling by Nuclear Receptors	4	0.0136	4.07E-7	1.57E-3
KEGG_ERBB_SIGNALING_PATHWAY	87	ErbB signaling pathway	3	0.0345	9.04E-7	1.76E-3
WP_ERBB_SIGNALING	92	ErbB signaling	3	0.0326	1.07E-6	1.76E-3
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	94	Signaling by TGF-beta Receptor Complex	3	0.0319	1.14E-6	1.76E-3
REACTOME_SIGNALING_BY_INTERLEUKINS	461	Signaling by Interleukins	4	0.0087	2.44E-6	3.13E-3
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	532	Signaling by Receptor Tyrosine Kinases	4	0.0075	4.29E-6	4.63E-3
KEGG_JAK_STAT_SIGNALING_PATHWAY	155	Jak-STAT signaling pathway	3	0.0194	5.15E-6	4.63E-3
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	161	Signaling by TGFB family members	3	0.0186	5.77E-6	4.63E-3
COLLIS_PRKDC_SUBSTRATES	17	Substrates of PRKDC [GeneID=5591].	2	0.1176	6.39E-6	4.63E-3


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	REACTOME_ESR_MEDIATED_SIGNALING	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	KEGG_ERBB_SIGNALING_PATHWAY	WP_ERBB_SIGNALING	REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	KEGG_JAK_STAT_SIGNALING_PATHWAY	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	COLLIS_PRKDC_SUBSTRATES
4609	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	REACTOME_ESR_MEDIATED_SIGNALING	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	KEGG_ERBB_SIGNALING_PATHWAY	WP_ERBB_SIGNALING	REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	KEGG_JAK_STAT_SIGNALING_PATHWAY	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	COLLIS_PRKDC_SUBSTRATES
685	BTC	betacellulin [Source:HGNC Symbol;Acc:HGNC:1121]	REACTOME_ESR_MEDIATED_SIGNALING	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	KEGG_ERBB_SIGNALING_PATHWAY	WP_ERBB_SIGNALING			REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES			
5590	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	REACTOME_ESR_MEDIATED_SIGNALING	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS			REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX		REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	
3014	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	REACTOME_ESR_MEDIATED_SIGNALING	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS								COLLIS_PRKDC_SUBSTRATES
867	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]			KEGG_ERBB_SIGNALING_PATHWAY	WP_ERBB_SIGNALING	REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	KEGG_JAK_STAT_SIGNALING_PATHWAY	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	
6775	STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]						REACTOME_SIGNALING_BY_INTERLEUKINS		KEGG_JAK_STAT_SIGNALING_PATHWAY		
6624	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]						REACTOME_SIGNALING_BY_INTERLEUKINS				
9839	ZEB2	zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]										
9425	CDYL	chromodomain Y like [Source:HGNC Symbol;Acc:HGNC:1811]										
23035	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:29149]										
