
Overlap Results

Collection(s):	C2, H
# overlaps shown:	10
# genesets in collections:	7720
# genes in comparison (n):	36
# genes in universe (N):	43722

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
HALLMARK_HYPOXIA	200	Genes up-regulated in response to low oxygen levels (hypoxia).	8	0.0400	4.52E-12	3.49E-8
WP_HALLMARK_OF_CANCER_SUSTAINING_PROLIFERATIVE_SIGNALING	98	Hallmark of cancer: sustaining proliferative signaling	6	0.0612	2E-10	6.48E-7
WP_CANCER_PATHWAYS	507	Cancer pathways	9	0.0178	2.52E-10	6.48E-7
PID_PS1_PATHWAY	46	Presenilin action in Notch and Wnt signaling	5	0.1087	3.79E-10	7.31E-7
WINTER_HYPOXIA_METAGENE	243	Genes regulated by hypoxia, based on literature searches.	7	0.0288	1.09E-9	1.69E-6
KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY	19	Pathway Definition from KEGG: (NNK,NNN) -> CHRN -> Ca2+ -> RAS -> RAF -> MEK -> ERK -> (FOS,JUN,MYC,BCL2)	4	0.2105	1.49E-9	1.91E-6
BLALOCK_ALZHEIMERS_DISEASE_UP	1660	Genes up-regulated in brain from patients with Alzheimer's disease.	12	0.0072	4.63E-9	5.1E-6
KRIEG_HYPOXIA_NOT_VIA_KDM3A	746	Genes induced under hypoxia independently of KDM3A [GeneID=55818] in RCC4 cells (renal carcinoma) expressing VHL [GeneID=7428].	9	0.0121	7.29E-9	7E-6
KEGG_PATHWAYS_IN_CANCER	325	Pathways in cancer	7	0.0215	8.16E-9	7E-6
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	792	Cytokine Signaling in Immune system	9	0.0114	1.22E-8	9.42E-6


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	HALLMARK_HYPOXIA	WP_HALLMARK_OF_CANCER_SUSTAINING_PROLIFERATIVE_SIGNALING	WP_CANCER_PATHWAYS	PID_PS1_PATHWAY	WINTER_HYPOXIA_METAGENE	KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY	BLALOCK_ALZHEIMERS_DISEASE_UP	KRIEG_HYPOXIA_NOT_VIA_KDM3A	KEGG_PATHWAYS_IN_CANCER	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
3725	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	HALLMARK_HYPOXIA	WP_HALLMARK_OF_CANCER_SUSTAINING_PROLIFERATIVE_SIGNALING	WP_CANCER_PATHWAYS	PID_PS1_PATHWAY	WINTER_HYPOXIA_METAGENE	KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY	BLALOCK_ALZHEIMERS_DISEASE_UP	KRIEG_HYPOXIA_NOT_VIA_KDM3A	KEGG_PATHWAYS_IN_CANCER	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
2353	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	HALLMARK_HYPOXIA	WP_HALLMARK_OF_CANCER_SUSTAINING_PROLIFERATIVE_SIGNALING	WP_CANCER_PATHWAYS	PID_PS1_PATHWAY	WINTER_HYPOXIA_METAGENE	KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY			KEGG_PATHWAYS_IN_CANCER	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
596	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	HALLMARK_HYPOXIA		WP_CANCER_PATHWAYS			KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY	BLALOCK_ALZHEIMERS_DISEASE_UP		KEGG_PATHWAYS_IN_CANCER	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
7163	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	HALLMARK_HYPOXIA				WINTER_HYPOXIA_METAGENE		BLALOCK_ALZHEIMERS_DISEASE_UP	KRIEG_HYPOXIA_NOT_VIA_KDM3A		
4783	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	HALLMARK_HYPOXIA				WINTER_HYPOXIA_METAGENE			KRIEG_HYPOXIA_NOT_VIA_KDM3A		
3340	NDST1	N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]	HALLMARK_HYPOXIA						BLALOCK_ALZHEIMERS_DISEASE_UP			
26355	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	HALLMARK_HYPOXIA							KRIEG_HYPOXIA_NOT_VIA_KDM3A		
1463	NCAN	neurocan [Source:HGNC Symbol;Acc:HGNC:2465]	HALLMARK_HYPOXIA									
4609	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]		WP_HALLMARK_OF_CANCER_SUSTAINING_PROLIFERATIVE_SIGNALING	WP_CANCER_PATHWAYS	PID_PS1_PATHWAY		KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY		KRIEG_HYPOXIA_NOT_VIA_KDM3A	KEGG_PATHWAYS_IN_CANCER	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
4040	LRP6	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]		WP_HALLMARK_OF_CANCER_SUSTAINING_PROLIFERATIVE_SIGNALING	WP_CANCER_PATHWAYS	PID_PS1_PATHWAY			BLALOCK_ALZHEIMERS_DISEASE_UP			
4233	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]		WP_HALLMARK_OF_CANCER_SUSTAINING_PROLIFERATIVE_SIGNALING	WP_CANCER_PATHWAYS		WINTER_HYPOXIA_METAGENE		BLALOCK_ALZHEIMERS_DISEASE_UP		KEGG_PATHWAYS_IN_CANCER	
2261	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]		WP_HALLMARK_OF_CANCER_SUSTAINING_PROLIFERATIVE_SIGNALING	WP_CANCER_PATHWAYS				BLALOCK_ALZHEIMERS_DISEASE_UP		KEGG_PATHWAYS_IN_CANCER	
4851	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]			WP_CANCER_PATHWAYS	PID_PS1_PATHWAY						
