
Overlap Results

Collection(s):	C2, H
# overlaps shown:	10
# genesets in collections:	7720
# genes in comparison (n):	34
# genes in universe (N):	43722

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	352	Genes up-regulated in invasive ductal carcinoma (IDC) relative to ductal carcinoma in situ (DCIS, non-invasive).	7	0.0199	9.22E-9	5.19E-5
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	854	Genes down-regulated in fibroblasts expressing mutant forms of ERCC3 [GeneID=2071] after UV irradiation.	9	0.0105	1.34E-8	5.19E-5
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	920	Cellular responses to stimuli	9	0.0098	2.55E-8	6.55E-5
PID_SHP2_PATHWAY	57	SHP2 signaling	4	0.0702	1.17E-7	2.15E-4
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	532	Signaling by Receptor Tyrosine Kinases	7	0.0132	1.54E-7	2.15E-4
WP_EGFEGFR_SIGNALING	162	EGF/EGFR signaling	5	0.0309	1.67E-7	2.15E-4
WP_AGERAGE_PATHWAY	66	AGE/RAGE pathway	4	0.0606	2.12E-7	2.34E-4
WP_LEPTIN_SIGNALING	76	Leptin signaling	4	0.0526	3.76E-7	3.63E-4
WP_PLEURAL_MESOTHELIOMA	439	Pleural mesothelioma	6	0.0137	1.05E-6	9E-4
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	466	Common down-regulated transcripts in fibroblasts expressing either XP/CS or TDD mutant forms of ERCC3 [GeneID=2071], after UVC irradiation.	6	0.0129	1.48E-6	1.14E-3


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	PID_SHP2_PATHWAY	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	WP_EGFEGFR_SIGNALING	WP_AGERAGE_PATHWAY	WP_LEPTIN_SIGNALING	WP_PLEURAL_MESOTHELIOMA	DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN
57214	CEMIP	cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN								DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN
9839	ZEB2	zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN								
9448	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP		REACTOME_CELLULAR_RESPONSES_TO_STIMULI						WP_PLEURAL_MESOTHELIOMA	
1009	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP								WP_PLEURAL_MESOTHELIOMA	
23414	ZFPM2	zinc finger protein, FOG family member 2 [Source:HGNC Symbol;Acc:HGNC:16700]	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP									
1909	EDNRA	endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179]	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP									
10484	SEC23A	SEC23 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10701]	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP									
10413	YAP1	Yes1 associated transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:16262]		DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	REACTOME_CELLULAR_RESPONSES_TO_STIMULI		REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES				WP_PLEURAL_MESOTHELIOMA	DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN
23512	SUZ12	SUZ12 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:17101]		DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	REACTOME_CELLULAR_RESPONSES_TO_STIMULI						WP_PLEURAL_MESOTHELIOMA	DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN
1871	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]		DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	REACTOME_CELLULAR_RESPONSES_TO_STIMULI							DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN
9425	CDYL	chromodomain Y like [Source:HGNC Symbol;Acc:HGNC:1811]		DACOSTA_UV_RESPONSE_VIA_ERCC3_DN								DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN
23035	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:29149]		DACOSTA_UV_RESPONSE_VIA_ERCC3_DN								DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN
22884	WDR37	WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]		DACOSTA_UV_RESPONSE_VIA_ERCC3_DN								
27252	KLHL20	kelch like family member 20 [Source:HGNC Symbol;Acc:HGNC:25056]		DACOSTA_UV_RESPONSE_VIA_ERCC3_DN								
6464	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]			REACTOME_CELLULAR_RESPONSES_TO_STIMULI	PID_SHP2_PATHWAY	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	WP_EGFEGFR_SIGNALING	WP_AGERAGE_PATHWAY	WP_LEPTIN_SIGNALING	WP_PLEURAL_MESOTHELIOMA	
4846	NOS3	nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876]			REACTOME_CELLULAR_RESPONSES_TO_STIMULI	PID_SHP2_PATHWAY	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	WP_EGFEGFR_SIGNALING	WP_AGERAGE_PATHWAY	WP_LEPTIN_SIGNALING		
7029	TFDP2	transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751]			REACTOME_CELLULAR_RESPONSES_TO_STIMULI							
